Station No,Road Link,Location,AADT,AADT excluding MC & Rickshaws,AADT in PCUs,AADT in PCUs excluding MC & Rickshaws,Year,More info
1,F00101,Birtamod South,5247,1615,4710,2586,2011/012,view detail
1,F00101,Birtamod South,5251,1485,4400,2254,2012/013,view detail
1,F00101,Birtamod South,5183,1109,3695,1629,2014/015,view detail
1,F00101,Birtamod South,4545,1218,3591,1808,2015/016,view detail
1,F00101,Birtamod South,8219,4223,6498,4500,2016/017,view detail
1,F00101,Birtamod South,22417,10398,16282,10271,2018/019,view detail
1,NH04-001,Birtamod South,12330,3928,8797,4596,2020/021,view detail
1,NH04-001,Birtamod South,12469,4576,8771,4825,2021/022,view detail
2,H0101,Charali East,6811,3006,7150,5245,2011/012,view detail
2,H0101,Charali East,7750,2981,7506,5138,2012/013,view detail
2,H0101,Charali East,7672,2974,7394,4987,2014/015,view detail
2,H0101,Charali East,8053,4016,9115,7071,2015/016,view detail
2,H0101,Charali East,10319,5768,11825,9534,2016/017,view detail
2,H0101,Charali East,16040,6895,13443,8850,2018/019,view detail
2,NH01-001,Charali East,17170,7331,16643,11720,2020/021,view detail
2,NH01-001,Charali East,14769,6770,13945,9938,2021/022,view detail
3,H0102,Charali West,7766,4254,9588,9588,2011/012,view detail
3,H0102,Charali West,8326,3943,9518,9518,2012/013,view detail
3,H0102,Charali West,7600,3525,8099,6034,2014/015,view detail
3,H0102,Charali West,10065,5258,11357,8947,2015/016,view detail
3,H0102,Charali West,11500,6176,12504,9839,2016/017,view detail
3,H0102,Charali West,15614,6557,13435,8845,2018/019,view detail
3,NH01-002,Charali West,46156,20828,37159,24491,2020/021,view detail
3,NH01-002,Charali West,36969,17773,30171,20572,2021/022,view detail
4,H0705,Charali North,4520,2040,5240,3815,2011/012,view detail
4,H0705,Charali North,5217,1748,5109,3143,2012/013,view detail
4,H0705,Charali North,6970,1806,5400,2613,2014/015,view detail
4,H0705,Charali North,6757,3102,5857,4000,2015/016,view detail
4,H0705,Charali North,8241,4156,6947,4886,2016/017,view detail
4,H0705,Charali North,11149,5579,9434,6647,2018/019,view detail
4,NH02-004,Charali North,11524,5166,9795,6614,2020/021,view detail
4,NH02-004,Charali North,10724,5339,9054,6361,2021/022,view detail
5,F00201,Damak South,3378,591,2465,960,2011/012,view detail
5,F00201,Damak South,3809,1083,3525,2033,2012/013,view detail
5,F00201,Damak South,8744,1236,5950,2101,2014/015,view detail
5,F00201,Damak South,5389,956,3942,1629,2015/016,view detail
5,F00201,Damak South,5684,1718,5035,2701,2016/017,view detail
5,F00201,Damak South,8180,3417,6102,3718,2018/019,view detail
5,F00201,Damak South,7489,3071,6229,4018,2020/021,view detail
5,F00201,Damak South,7266,3187,5936,3895,2021/022,view detail
6,H0105,Damak West,7803,3129,8277,5788,2011/012,view detail
6,H0105,Damak West,6729,2806,7666,5599,2012/013,view detail
6,H0105,Damak West,11071,6513,14082,11680,2014/015,view detail
6,H0105,Damak West,4202,1768,4520,3216,2015/016,view detail
6,H0105,Damak West,13859,6553,13575,9886,2016/017,view detail
6,H0105,Damak West,21977,10527,18661,12936,2018/019,view detail
6,NH01-005,Damak West,30011,13322,26557,18207,2020/021,view detail
6,NH01-005,Damak West,28252,13156,24718,17170,2021/022,view detail
7,F03801,Fikkal East,1058,590,1016,782,2011/012,view detail
7,F03801,Fikkal East,993,640,1048,872,2012/013,view detail
7,F03801,Fikkal East,1054,662,1088,892,2014/015,view detail
7,F03801,Fikkal East,1005,630,1030,843,2015/016,view detail
7,F03801,Fikkal East,1859,1192,1749,1416,2016/017,view detail
7,F03801,Fikkal East,4977,3047,4970,4005,2018/019,view detail
7,F03801,Fikkal East,2776,1331,2301,1579,2020/021,view detail
7,F03801,Fikkal East,2200,1111,1784,1240,2021/022,view detail
8,H0707,Fikkal West,1581,921,1557,1228,2011/012,view detail
8,H0707,Fikkal West,1944,1080,1939,1507,2012/013,view detail
8,H0707,Fikkal West,2057,1100,1952,1473,2014/015,view detail
8,H0707,Fikkal West,1805,978,1745,1332,2015/016,view detail
8,H0707,Fikkal West,3306,2292,3423,2916,2016/017,view detail
8,H0707,Fikkal West,8341,5457,7994,6551,2018/019,view detail
8,NH02-006,Fikkal West,4836,2487,4249,3075,2020/021,view detail
8,NH02-006,Fikkal West,3531,1825,3059,2206,2021/022,view detail
9,H0709,Ilam North,1351,738,1270,964,2011/012,view detail
9,H0709,Ilam North,902,617,1169,1027,2012/013,view detail
9,H0709,Ilam North,1480,913,1533,1250,2014/015,view detail
9,H0709,Ilam North,1162,744,1274,1065,2015/016,view detail
9,H0709,Ilam North,2489,1261,2138,1524,2016/017,view detail
9,H0709,Ilam North,2667,1689,2764,2275,2018/019,view detail
9,NH02-008,Ilam North,2714,1323,2499,1803,2020/021,view detail
9,NH02-008,Ilam North,2523,1145,2223,1535,2021/022,view detail
10,H0711,Phidim North,920,670,1288,1163,2011/012,view detail
10,H0711,Phidim North,773,490,971,830,2012/013,view detail
10,H0711,Phidim North,953,844,1546,1491,2014/015,view detail
10,H0711,Phidim North,812,652,1212,1132,2015/016,view detail
10,H0711,Phidim North,779,401,750,561,2016/017,view detail
10,H0711,Phidim North,1214,678,1286,1019,2018/019,view detail
10,NH02-010,Phidim North,982,528,926,699,2020/021,view detail
10,NH02-010,Phidim North,929,527,979,778,2021/022,view detail
11,F03901,Biratnagar East,5325,1862,6625,4589,2011/012,view detail
11,F03901,Biratnagar East,4480,767,3584,1374,2012/013,view detail
11,F03901,Biratnagar East,5720,1792,5898,3117,2014/015,view detail
11,F03901,Biratnagar East,4568,1317,4528,2413,2015/016,view detail
11,F03901,Biratnagar East,3043,883,2294,1214,2016/017,view detail
11,F03901,Biratnagar East,11608,4922,9322,5969,2018/019,view detail
11,NH05-004,Biratnagar East,16700,5867,12417,6999,2020/021,view detail
11,NH05-004,Biratnagar East,15574,6203,11337,6651,2021/022,view detail
12,H0803,Itahari South,18302,7725,21234,14551,2011/012,view detail
12,H0803,Itahari South,12083,5662,14329,10409,2012/013,view detail
12,H0803,Itahari South,14634,8704,17006,13802,2014/015,view detail
12,H0803,Itahari South,13101,5711,13882,9989,2015/016,view detail
12,H0803,Itahari South,13223,9281,17397,15334,2016/017,view detail
12,H0803,Itahari South,32725,16964,29133,21247,2018/019,view detail
12,NH08-004,Itahari South,29057,15794,26578,19932,2020/021,view detail
12,NH08-004,Itahari South,28772,15502,25447,18812,2021/022,view detail
13,H0108,Ithari East,9059,3925,9413,6726,2011/012,view detail
13,H0108,Ithari East,7769,3287,8101,5793,2012/013,view detail
13,H0108,Ithari East,9997,6012,12287,9839,2014/015,view detail
13,H0108,Ithari East,10141,5580,12343,10037,2015/016,view detail
13,H0108,Ithari East,20123,12275,24092,20120,2016/017,view detail
13,H0108,Ithari East,33794,17053,30495,22123,2018/019,view detail
13,NH01-008,Ithari East,37625,18794,34552,25113,2020/021,view detail
13,NH01-008,Ithari East,35598,18300,30274,21621,2021/022,view detail
14,H0109,Ithari West,8118,3932,10484,8094,2011/012,view detail
14,H0109,Ithari West,10116,3889,10536,6949,2012/013,view detail
14,H0109,Ithari West,10044,4138,10256,6884,2014/015,view detail
14,H0109,Ithari West,6227,4029,8435,7225,2015/016,view detail
14,H0109,Ithari West,10638,6103,12065,9675,2016/017,view detail
14,H0109,Ithari West,28029,13488,23818,16545,2018/019,view detail
14,NH01-009,Ithari West,33345,16432,29397,20921,2020/021,view detail
14,NH01-009,Ithari West,33775,17335,30264,22013,2021/022,view detail
15,H0804,Itahari North,10852,3605,10168,6091,2011/012,view detail
15,H0804,Itahari North,9352,2964,8796,5213,2012/013,view detail
15,H0804,Itahari North,10124,3274,8790,5065,2014/015,view detail
15,H0804,Itahari North,9884,3664,9417,6025,2015/016,view detail
15,H0804,Itahari North,23603,11338,19360,13174,2016/017,view detail
15,H0804,Itahari North,28119,13148,23160,15675,2018/019,view detail
15,NH08-005,Itahari North,23500,10322,19341,12752,2020/021,view detail
15,NH08-005,Itahari North,29692,14942,24292,16914,2021/022,view detail
16,H0111,Koshi Barrage East,3326,1776,4478,3673,2011/012,view detail
16,H0111,Koshi Barrage East,4719,2179,5347,4022,2012/013,view detail
16,H0111,Koshi Barrage East,4203,2773,6194,5422,2014/015,view detail
16,H0111,Koshi Barrage East,3411,2015,4849,4109,2015/016,view detail
16,H0111,Koshi Barrage East,9133,6425,13350,11893,2016/017,view detail
16,H0111,Koshi Barrage East,7809,3612,9340,6889,2018/019,view detail
16,NH01-011,Koshi Barrage East,6564,3725,9553,8132,2020/021,view detail
16,NH01-011,Koshi Barrage East,7331,4646,11511,10168,2021/022,view detail
17,H0806,Dharan North,1310,972,1896,1727,2011/012,view detail
17,H0806,Dharan North,2256,729,1974,1210,2012/013,view detail
17,H0806,Dharan North,2530,1315,2841,2234,2014/015,view detail
17,H0806,Dharan North,1965,891,2079,1542,2015/016,view detail
17,H0806,Dharan North,4509,1882,3861,2547,2016/017,view detail
17,H0806,Dharan North,18059,9151,13216,8762,2018/019,view detail
17,NH08-007,Dharan North,4707,1961,4326,2954,2020/021,view detail
17,NH08-007,Dharan North,4056,1691,3577,2394,2021/022,view detail
18,F04004,Basantapur East,224,181,326,305,2011/012,view detail
18,F04004,Basantapur East,392,271,521,461,2012/013,view detail
18,F04004,Basantapur East,778,429,836,661,2014/015,view detail
18,F04004,Basantapur East,477,294,567,475,2015/016,view detail
18,F04004,Basantapur East,66,39,96,83,2016/017,view detail
18,F04004,Basantapur East,323,148,366,278,2018/019,view detail
18,NH03-006,Basantapur East,408,249,586,506,2020/021,view detail
18,NH03-006,Basantapur East,511,220,494,349,2021/022,view detail
19,F04001,Hile North,921,723,1337,1238,2011/012,view detail
19,F04001,Hile North,1115,680,1483,1265,2012/013,view detail
19,F04001,Hile North,1812,1197,2009,1702,2014/015,view detail
19,F04001,Hile North,1121,752,1331,1147,2015/016,view detail
19,F04001,Hile North,1633,791,1769,1348,2016/017,view detail
19,F04001,Hile North,2021,854,2050,1467,2018/019,view detail
19,NH03-009,Hile North,1557,792,1616,1233,2020/021,view detail
19,NH03-009,Hile North,1917,907,1936,1430,2021/022,view detail
20,H1807,Pakhribas,328,249,439,399,2011/012,view detail
20,H1807,Pakhribas,685,439,867,744,2012/013,view detail
20,H1807,Pakhribas,886,467,849,639,2014/015,view detail
20,H1807,Pakhribas,639,383,691,563,2015/016,view detail
20,H1807,Pakhribas,1045,699,1185,1012,2016/017,view detail
20,H1807,Pakhribas,1256,579,1167,829,2018/019,view detail
20,NH03-010,Pakhribas,1030,554,1120,882,2020/021,view detail
20,NH03-010,Pakhribas,1521,779,1513,1142,2021/022,view detail
21,F00301,Bhardaha South,1228,556,1475,1119,2011/012,view detail
21,F00301,Bhardaha South,1536,642,1636,1155,2012/013,view detail
21,F00301,Bhardaha South,3595,1459,4171,3102,2014/015,view detail
21,F00301,Bhardaha South,2189,912,2497,1848,2015/016,view detail
21,F00301,Bhardaha South,2711,1124,2565,1767,2016/017,view detail
21,F00301,Bhardaha South,3626,1532,3181,2116,2018/019,view detail
21,F00301,Bhardaha South,3711,1304,3206,1982,2020/021,view detail
21,F00301,Bhardaha South,3402,1336,2884,1823,2021/022,view detail
22,F00401,Rupani South,1268,490,1340,940,2011/012,view detail
22,F00401,Rupani South,1724,771,1878,1361,2012/013,view detail
22,F00401,Rupani South,2518,587,2038,1071,2014/015,view detail
22,F00401,Rupani South,1868,575,1704,1044,2015/016,view detail
22,F00401,Rupani South,3699,1261,2984,1763,2016/017,view detail
22,F00401,Rupani South,4621,1321,3539,1889,2018/019,view detail
22,F00401,Rupani South,4880,1448,4139,2422,2020/021,view detail
22,F00401,Rupani South,4059,1385,3636,2297,2021/022,view detail
23,H0115,Lahan East,4703,2159,6114,4837,2011/012,view detail
23,H0115,Lahan East,4279,2140,5466,4329,2012/013,view detail
23,H0115,Lahan East,7132,2812,7863,5679,2014/015,view detail
23,H0115,Lahan East,5157,2143,5849,4312,2015/016,view detail
23,H0115,Lahan East,11333,6450,15036,12569,2016/017,view detail
23,H0115,Lahan East,14289,7452,18138,14719,2018/019,view detail
23,NH01-015,Lahan East,12690,5744,14999,11525,2020/021,view detail
23,NH01-015,Lahan East,10519,4889,12815,10000,2021/022,view detail
24,H0901,Kadmaha North,1440,523,1540,1077,2011/012,view detail
24,H0901,Kadmaha North,1636,800,2021,1589,2012/013,view detail
24,H0901,Kadmaha North,2868,614,2252,1119,2014/015,view detail
24,H0901,Kadmaha North,2571,901,2565,1713,2015/016,view detail
24,H0901,Kadmaha North,4017,1703,4245,3086,2016/017,view detail
24,H0901,Kadmaha North,4471,1667,3995,2593,2018/019,view detail
24,NH16-003,Kadmaha North,3898,1353,3536,2263,2020/021,view detail
24,NH16-003,Kadmaha North,3842,1224,3332,2020,2021/022,view detail
25,F00501,Chourhwa South,1991,719,1949,1307,2011/012,view detail
25,F00501,Chourhwa South,2424,798,2190,1368,2012/013,view detail
25,F00501,Chourhwa South,3118,747,2459,1274,2014/015,view detail
25,F00501,Chourhwa South,2399,691,2034,1178,2015/016,view detail
25,F00501,Chourhwa South,5238,1780,4273,2535,2016/017,view detail
25,F00501,Chourhwa South,4704,1084,3427,1617,2018/019,view detail
25,NH20-002,Chourhwa South,6380,1857,5181,2919,2020/021,view detail
25,NH20-002,Chourhwa South,6185,2036,5328,3251,2021/022,view detail
26,F05201,Mirchaiya North,1834,690,2334,1727,2011/012,view detail
26,F05201,Mirchaiya North,1649,747,2293,1832,2012/013,view detail
26,F05201,Mirchaiya North,2059,635,1863,1151,2014/015,view detail
26,F05201,Mirchaiya North,1727,628,1915,1356,2015/016,view detail
26,F05201,Mirchaiya North,2749,1399,3889,3206,2016/017,view detail
26,F05201,Mirchaiya North,2732,1319,2511,1803,2018/019,view detail
26,NH20-003,Mirchaiya North,3058,1560,4778,4028,2020/021,view detail
26,NH20-003,Mirchaiya North,2764,752,2230,1224,2021/022,view detail
27,F05203,Katari North,324,238,512,469,2011/012,view detail
27,F05203,Katari North,383,264,585,525,2012/013,view detail
27,F05203,Katari North,984,282,786,426,2014/015,view detail
27,F05203,Katari North,603,246,608,424,2015/016,view detail
27,F05203,Katari North,1667,968,1770,1417,2016/017,view detail
27,F05203,Katari North,3462,1849,3187,2380,2018/019,view detail
27,NH20-005,Katari North,760,400,913,732,2020/021,view detail
27,NH20-005,Katari North,1929,1015,1900,1442,2021/022,view detail
28,F10901,Dharapani South,683,269,666,455,2011/012,view detail
28,F10901,Dharapani South,308,148,402,316,2012/013,view detail
28,F10901,Dharapani South,292,105,259,165,2014/015,view detail
28,F10901,Dharapani South,341,132,319,211,2015/016,view detail
28,F10901,Dharapani South,1178,263,830,372,2016/017,view detail
28,F10901,Dharapani South,9144,4986,11411,9332,2018/019,view detail
28,NH30-002,Dharapani South,1647,316,1112,447,2020/021,view detail
28,NH30-002,Dharapani South,1094,231,775,342,2021/022,view detail
29,H0604,Dhalkebar South,2861,1437,4132,3417,2011/012,view detail
29,H0604,Dhalkebar South,2548,1542,3890,3387,2012/013,view detail
29,H0604,Dhalkebar South,4978,2053,5176,3694,2014/015,view detail
29,H0604,Dhalkebar South,3458,1547,3968,3002,2015/016,view detail
29,H0604,Dhalkebar South,5457,2823,6473,5155,2016/017,view detail
29,H0604,Dhalkebar South,8299,3501,8637,6236,2018/019,view detail
29,NH22-001,Dhalkebar South,7673,3398,8413,6275,2020/021,view detail
29,NH22-001,Dhalkebar South,7523,3279,7973,5849,2021/022,view detail
30,H0120,Dhalkebar East,3906,2366,6493,5722,2011/012,view detail
30,H0120,Dhalkebar East,4725,2168,6193,4873,2012/013,view detail
30,H0120,Dhalkebar East,3418,2268,5431,4854,2014/015,view detail
30,H0120,Dhalkebar East,3446,2018,5085,4357,2015/016,view detail
30,H0120,Dhalkebar East,4611,2288,5486,4321,2016/017,view detail
30,H0120,Dhalkebar East,13572,6227,15666,11993,2018/019,view detail
